"","Event","Jan_97","Feb_97","Mar_97","Apr_97","May_97","Jun_97","Jul_97","Aug_97","Sep_97","Oct_97","Nov_97","Dec_97","Jan_98","Feb_98","Mar_98","Apr_98","May_98","Jun_98","Jul_98","Aug_98","Sep_98","Oct_98","Nov_98","Dec_98","Jan_99","Feb_99","Mar_99","Apr_99","May_99","Jun_99","Jul_99","Aug_99","Sep_99","Oct_99","Nov_99","Dec_99","Jan_00","Feb_00","Mar_00","Apr_00","May_00","Jun_00","Jul_00","Aug_00","Sep_00","Oct_00","Nov_00","Dec_00","Jan_01","Feb_01","Mar_01","Apr_01","May_01","Jun_01","Jul_01","Aug_01","Sep_01","Oct_01","Nov_01","Dec_01","Jan_02","Feb_02","Mar_02","Apr_02","May_02","Jun_02","Jul_02","Aug_02","Sep_02","Oct_02","Nov_02","Dec_02","Jan_03","Feb_03","Mar_03","Apr_03","May_03","Jun_03","Jul_03","Aug_03","Sep_03","Oct_03","Nov_03","Dec_03","Jan_04","Feb_04","Mar_04","Apr_04","May_04","Jun_04","Jul_04","Aug_04","Sep_04","Oct_04","Nov_04","Dec_04","Jan_05","Feb_05","Mar_05","Apr_05","May_05","Jun_05","Jul_05","Aug_05","Sep_05","Oct_05","Nov_05","Dec_05","Jan_06","Feb_06","Mar_06","Apr_06","May_06","Jun_06","Jul_06","Aug_06","Sep_06","Oct_06","Nov_06","Dec_06","Jan_07","Feb_07","Mar_07","Apr_07","May_07","Jun_07","Jul_07","Aug_07","Sep_07","Oct_07","Nov_07","Dec_07","Jan_08","Feb_08","Mar_08","Apr_08","May_08","Jun_08","Jul_08","Aug_08","Sep_08","Oct_08","Nov_08","Dec_08","Jan_09","Feb_09","Mar_09","Apr_09","May_09","Jun_09","Jul_09","Aug_09","Sep_09","Oct_09","Nov_09","Dec_09","Jan_10","Feb_10","Mar_10","Apr_10","May_10","Jun_10","Jul_10","Aug_10","Sep_10","Oct_10","Nov_10","Dec_10","Jan_11","Feb_11","Mar_11","Apr_11","May_11","Jun_11","Jul_11","Aug_11","Sep_11","Oct_11","Nov_11","Dec_11","Jan_12","Feb_12","Mar_12","Apr_12","May_12","Jun_12","Jul_12","Aug_12","Sep_12","Oct_12","Nov_12","Dec_12","Jan_13","Feb_13","Mar_13","Apr_13","May_13","Jun_13","Jul_13","Aug_13","Sep_13","Oct_13","Nov_13","Dec_13","Jan_14","Feb_14","Mar_14","Apr_14","May_14","Jun_14","Jul_14","Aug_14","Sep_14","Oct_14","Nov_14","Dec_14","Jan_15","Feb_15","Mar_15","Apr_15","May_15","Jun_15","Jul_15","Aug_15","Sep_15","Oct_15","Nov_15","Dec_15","Jan_16","Feb_16","Mar_16","Apr_16","May_16","Jun_16","Jul_16","Aug_16","Sep_16","Oct_16","Nov_16","Dec_16","Jan_17","Feb_17","Mar_17","Apr_17","May_17","Jun_17","Jul_17","Aug_17","Sep_17","Oct_17","Nov_17","Dec_17","Jan_18","Feb_18","Mar_18","Apr_18","May_18","Jun_18","Jul_18","Aug_18","Sep_18","Oct_18","Nov_18","Dec_18","Jan_19","Feb_19","Mar_19","Apr_19","May_19","Jun_19","Jul_19","Aug_19","Sep_19","Oct_19","Nov_19","Dec_19","Jan_20","Feb_20","Mar_20","Apr_20","May_20","Jun_20","Jul_20","Aug_20","Sep_20","Oct_20","Nov_20","Dec_20","Jan_21","Feb_21","Mar_21","Apr_21","May_21","Jun_21","Jul_21","Aug_21","Sep_21","Oct_21","Nov_21","Dec_21"
"1","typhoon",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"2","severe_tropical_storm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","tropical_depression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4","tropical_storm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"5","severe_typhoon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","supertyphoon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7","thunderstorm_days",0,1,3,3,8,11,10,13,3,1,0,0,2,5,1,4,5,9,6,10,7,0,0,0,0,0,0,2,3,6,4,15,3,2,0,0,0,0,0,5,3,4,7,10,1,0,0,0,1,0,1,2,5,14,9,7,6,0,0,0,0,0,3,1,6,6,8,6,7,2,0,0,0,0,0,1,6,11,2,10,5,0,0,0,0,0,2,4,3,4,11,11,3,1,0,0,0,0,3,0,13,12,6,12,4,1,0,0,0,0,0,2,6,8,12,8,6,0,2,0,0,0,0,4,7,15,3,11,1,0,0,0,0,0,1,2,4,14,12,1,6,1,1,0,0,0,4,2,4,13,4,7,3,0,0,0,0,1,0,0,7,7,6,12,9,0,0,0,0,0,0,1,3,5,8,6,5,0,0,0,0,0,0,9,7,3,7,6,5,0,0,0,0,0,5,8,10,5,14,7,4,0,0,0,0,0,3,3,14,10,9,11,5,4,0,0,0,0,0,0,10,4,8,9,4,2,0,0,2,0,3,9,3,8,13,8,5,1,0,0,0,1,0,3,3,9,15,7,8,2,0,0,0,0,1,1,2,8,7,15,3,1,0,0,0,2,4,7,5,9,13,9,6,4,0,0,1,2,1,0,8,6,2,6,15,1,0,0,0,0,0,0,2,8,14,12,5,0,0,0
"8","heavy_rainfall_days",0,0,0,2,1,5,7,5,1,1,0,0,0,1,0,2,2,4,2,0,1,1,0,0,0,0,0,2,0,2,0,4,1,0,0,0,0,0,0,4,2,3,2,5,2,1,0,0,0,0,0,0,1,10,4,3,5,0,0,0,0,0,2,0,1,1,1,3,5,3,0,0,0,0,0,1,1,2,0,3,3,0,0,0,0,0,1,2,1,0,3,3,1,0,0,0,0,0,0,0,3,4,1,4,2,0,0,0,0,0,0,2,4,4,4,2,2,0,1,0,0,0,0,1,2,4,0,3,1,0,0,0,0,0,0,1,1,8,4,3,0,1,1,0,0,0,0,0,2,0,1,2,3,0,0,0,0,1,0,0,1,2,2,1,5,0,0,0,0,0,0,0,1,4,1,1,0,1,0,0,0,0,0,1,1,1,3,1,1,0,0,0,0,0,1,0,2,3,2,3,3,0,0,0,0,0,2,0,5,2,0,3,1,1,0,0,0,0,0,1,4,3,2,0,0,1,0,0,0,0,1,1,2,2,0,2,3,4,1,0,0,0,0,0,1,3,2,4,0,0,0,0,0,0,0,0,0,3,3,4,2,0,0,0,0,0,0,1,0,2,2,4,1,1,0,0,0,0,0,0,2,2,0,3,5,1,0,0,0,0,0,0,0,4,2,0,0,3,0,0
"9","hot_nights",0,0,0,0,0,4,3,3,2,0,0,0,0,0,0,0,0,10,14,12,0,0,0,0,0,0,0,0,0,2,12,3,0,0,0,0,0,0,0,0,0,6,6,10,0,0,0,0,0,0,0,0,0,2,2,10,2,0,0,0,0,0,0,0,0,8,7,2,0,0,0,0,0,0,0,0,0,5,10,4,1,0,0,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,0,2,5,10,5,4,0,0,0,0,0,0,0,0,3,9,1,2,0,0,0,0,0,0,0,2,3,14,4,0,0,0,0,0,0,0,0,0,0,7,1,7,0,0,0,0,0,0,0,0,2,4,15,7,0,0,0,0,0,0,0,1,5,10,5,3,0,0,0,0,0,0,0,0,5,6,10,0,0,0,0,0,0,0,0,1,6,5,11,0,0,0,0,0,0,0,0,1,6,1,1,1,0,0,0,0,0,0,0,3,8,13,6,4,0,0,0,0,0,0,0,2,13,12,8,2,0,0,0,0,0,0,0,2,15,13,4,2,0,0,0,0,0,0,0,0,13,6,14,4,4,0,0,0,0,0,0,6,6,7,5,2,0,0,0,0,0,0,0,3,11,15,9,7,1,0,0,0,0,0,0,1,18,21,6,4,0,0,0,0,0,0,0,14,8,18,6,11,4,0,0
"10","cold_days",6,1,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,8,7,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,2,9,8,0,0,0,0,0,0,0,0,0,4,6,7,7,0,0,0,0,0,0,0,0,7,8,1,4,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,1,13,18,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,3,6,4,8,2,0,0,0,0,0,0,0,0,7,14,5,0,0,0,0,0,0,0,0,0,6,8,7,2,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,10,6,9,0,0,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,2,7,10,3,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,3,9,9,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,2
"11","very_hot_days",0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,1,10,3,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,14,4,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,6,14,10,0,0,0,0,0,0,0,0,0,8,4,1,0,0,0,0,0,0,0,1,4,4,10,0,0,0,0,0,0,0,0,0,2,7,10,2,0,0,0,0,0,0,0,1,5,5,5,1,0,0,0,0,0,0,0,0,5,15,6,7,0,0,0,0,0,0,0,0,10,6,12,0,0,0,0,0,0,0,0,0,13,15,9,1,0,0,0,0,0,0,0,0,6,7,10,5,1,0,0,0,0,0,0,16,4,8,5,3,0,0,0,0,0,0,0,0,5,8,11,8,1,0,0,0,0,0,0,1,6,20,16,4,0,0,0,0,0,0,0,12,4,17,5,15,1,0,0
